region_bld,arch,eneff,value
C-EEU-BGR,inf,ns,1.0
C-EEU-BGR,mfh,s1,1.0
C-EEU-BGR,mfh,s2,1.0
C-EEU-BGR,mfh,s3,1.0
C-EEU-BGR,mfh,s51_std,1.0
C-EEU-BGR,mfh,s52_low,1.0
C-EEU-BGR,mfh,sr11_std,1.0
C-EEU-BGR,mfh,sr12_low,1.0
C-EEU-BGR,mfh,sr21_std,1.0
C-EEU-BGR,mfh,sr22_low,1.0
C-EEU-BGR,mfh,sr31_std,1.0
C-EEU-BGR,mfh,sr32_low,1.0
C-EEU-BGR,sfh,s1,1.0
C-EEU-BGR,sfh,s2,1.0
C-EEU-BGR,sfh,s3,1.0
C-EEU-BGR,sfh,s51_std,1.0
C-EEU-BGR,sfh,s52_low,1.0
C-EEU-BGR,sfh,sr11_std,1.0
C-EEU-BGR,sfh,sr12_low,1.0
C-EEU-BGR,sfh,sr21_std,1.0
C-EEU-BGR,sfh,sr22_low,1.0
C-EEU-BGR,sfh,sr31_std,1.0
C-EEU-BGR,sfh,sr32_low,1.0
C-EEU-CZE,inf,ns,1.0
C-EEU-CZE,mfh,s1,1.0
C-EEU-CZE,mfh,s2,1.0
C-EEU-CZE,mfh,s3,1.0
C-EEU-CZE,mfh,s51_std,1.0
C-EEU-CZE,mfh,s52_low,1.0
C-EEU-CZE,mfh,sr11_std,1.0
C-EEU-CZE,mfh,sr12_low,1.0
C-EEU-CZE,mfh,sr21_std,1.0
C-EEU-CZE,mfh,sr22_low,1.0
C-EEU-CZE,mfh,sr31_std,1.0
C-EEU-CZE,mfh,sr32_low,1.0
C-EEU-CZE,sfh,s1,1.0
C-EEU-CZE,sfh,s2,0.9745349
C-EEU-CZE,sfh,s3,1.0
C-EEU-CZE,sfh,s51_std,1.0
C-EEU-CZE,sfh,s52_low,1.0
C-EEU-CZE,sfh,sr11_std,1.0
C-EEU-CZE,sfh,sr12_low,1.0
C-EEU-CZE,sfh,sr21_std,0.9745349
C-EEU-CZE,sfh,sr22_low,0.9745349
C-EEU-CZE,sfh,sr31_std,1.0
C-EEU-CZE,sfh,sr32_low,1.0
C-EEU-EST,inf,ns,0.6423669175
C-EEU-EST,mfh,s1,0.9999911395000001
C-EEU-EST,mfh,s2,0.9999911395000001
C-EEU-EST,mfh,s3,1.0
C-EEU-EST,mfh,s51_std,1.0
C-EEU-EST,mfh,s52_low,1.0
C-EEU-EST,mfh,sr11_std,0.9999911395000001
C-EEU-EST,mfh,sr12_low,0.9999911395000001
C-EEU-EST,mfh,sr21_std,0.9999911395000001
C-EEU-EST,mfh,sr22_low,0.9999911395000001
C-EEU-EST,mfh,sr31_std,1.0
C-EEU-EST,mfh,sr32_low,1.0
C-EEU-EST,sfh,s1,0.6423669175
C-EEU-EST,sfh,s2,0.42250615150000004
C-EEU-EST,sfh,s3,0.6680464205000001
C-EEU-EST,sfh,s51_std,0.9999911395000001
C-EEU-EST,sfh,s52_low,1.0
C-EEU-EST,sfh,sr11_std,0.6423669175
C-EEU-EST,sfh,sr12_low,0.6423669175
C-EEU-EST,sfh,sr21_std,0.42250615150000004
C-EEU-EST,sfh,sr22_low,0.42250615150000004
C-EEU-EST,sfh,sr31_std,0.6680464205000001
C-EEU-EST,sfh,sr32_low,0.6680464205000001
C-EEU-HRV,inf,ns,0.974140635
C-EEU-HRV,mfh,s1,0.986233985
C-EEU-HRV,mfh,s2,0.986233985
C-EEU-HRV,mfh,s3,0.986233985
C-EEU-HRV,mfh,s51_std,0.986233985
C-EEU-HRV,mfh,s52_low,0.986233985
C-EEU-HRV,mfh,sr11_std,0.986233985
C-EEU-HRV,mfh,sr12_low,0.986233985
C-EEU-HRV,mfh,sr21_std,0.986233985
C-EEU-HRV,mfh,sr22_low,0.986233985
C-EEU-HRV,mfh,sr31_std,0.986233985
C-EEU-HRV,mfh,sr32_low,0.986233985
C-EEU-HRV,sfh,s1,0.974140635
C-EEU-HRV,sfh,s2,0.974140635
C-EEU-HRV,sfh,s3,0.974140635
C-EEU-HRV,sfh,s51_std,0.986233985
C-EEU-HRV,sfh,s52_low,0.986233985
C-EEU-HRV,sfh,sr11_std,0.974140635
C-EEU-HRV,sfh,sr12_low,0.974140635
C-EEU-HRV,sfh,sr21_std,0.974140635
